Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,6.03,3.03,6,1.08,Iris-virginica
2,5.08,2.09,5.02,1,Iris-virginica
3,7.01,3,6.08,1.06,Iris-virginica
4,6.03,2.05,2.03,1.05,Iris-virginica
5,5.03,3.05,5,1.02,Iris-virginica
6,5.02,3.02,2.03,1,Iris-virginica
7,6.08,2.02,6.07,1.03,Iris-virginica
8,7.07,3.07,5.03,1.06,Iris-virginica
9,6.07,3.04,2.06,1.05,Iris-virginica
10,5.04,2.09,6.06,1.01,Iris-virginica
11,7.08,3.07,5.09,1,Iris-virginica
12,5.09,2.05,2.07,1.02,Iris-virginica
13,7.08,2,2.08,1.05,Iris-virginica
14,5,3.02,6.09,1.06,Iris-virginica
15,6.08,3.05,5.07,1.04,Iris-virginica
16,7.03,2.06,2.03,1,Iris-virginica
17,6.04,2.08,5.07,1.04,Iris-virginica
18,5.06,3.06,6.07,1.05,Iris-virginica
19,6.08,3.07,2,1.03,Iris-virginica
20,5.09,2.01,5.06,1,Iris-virginica
21,7.05,3.09,2.08,1.06,Iris-virginica
22,5.05,3.04,6.09,1.03,Iris-virginica
23,7.09,2.05,2.04,1.05,Iris-virginica
24,7.04,3.08,5.07,1,Iris-virginica
25,6.03,2.09,2.04,1.05,Iris-virginica
